Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedCG;13/12/2024, 18:00:00;40,78448275862069;7,854655172413794;28,416034482758622;3,533620689655172;-1,2332758620689654;-2,4208620689655174;2,637241379310345;-1,5963793103448276;0,9987931034482759;0,9463793103448276;0,995344827586207;0,865;227,54103448275865;227,27103448275864;228,05603448275863;0,040862068965517244;0,12862068965517243;0,024482758620689653
MedCG;13/12/2024, 19:00:00;30,412166666666668;5,849166666666666;19,687333333333335;3,8183333333333334;-1,3145;-2,307666666666667;2,6746666666666665;-1,8153333333333335;1;0,92;0,99;0,8533333333333334;226,2756666666667;225,97249999999997;226,8285;0,029999999999999995;0,09333333333333332;0,024833333333333332
MedCG;13/12/2024, 20:00:00;31,720666666666666;6,0865;20,12;4,6185;-1,9605;-2,7595;2,025166666666667;-2,0025;0,9951666666666665;0,901;0,99;0,8951666666666666;224,91516666666666;224,683;225,52183333333332;0,029999999999999995;0,09099999999999998;0,029999999999999995
MedCG;13/12/2024, 21:00:00;31,867833333333333;5,7476666666666665;20,0005;4,6146666666666665;-1,5811666666666668;-2,2463333333333333;2;-2,023;0,9968333333333333;0,9225;0,99;0,8995;224,52683333333334;224,38183333333333;225,2295;0,029999999999999995;0,09;0,030166666666666665
MedCG;13/12/2024, 22:00:00;18,340833333333332;6,1885;8,100666666666665;3,1891666666666665;-1,1043333333333332;-2,166;2,711;-1,4773333333333334;0,997;0,9281666666666667;0,9348333333333334;0,8493333333333334;224,74633333333335;224,69216666666665;225,58066666666667;0,029999999999999995;0,0445;0,021
MedCG;13/12/2024, 23:00:00;16,776333333333334;5,9385;7;2,7623333333333333;-1,2243333333333335;-2,170666666666667;2,3506666666666667;-1,639;0,9956666666666667;0,9308333333333334;0,93;0,8168333333333333;223,08633333333333;223,051;223,942;0,029999999999999995;0,04;0,02
MedCG;14/12/2024, 0:00:00;16,57;5,539333333333333;7;2,8408333333333333;-1,4329999999999998;-2,728;2,6806666666666668;-1,569;0,9948333333333333;0,9031666666666667;0,93;0,8215;223,45366666666666;223,63799999999998;224,40883333333335;0,029999999999999995;0,04;0,02033333333333333
MedCG;14/12/2024, 1:00:00;17,077999999999996;6,2956666666666665;7;2,8033333333333332;-0,6453333333333333;-1,0056666666666667;2;-1,5698333333333332;0,9996666666666667;0,9715;0,9371666666666666;0,8161666666666666;221,66850000000002;221,8625;222,65583333333333;0,029999999999999995;0,04;0,020666666666666667
MedCG;14/12/2024, 2:00:00;17,07016666666667;6,491166666666667;7;2,6756666666666664;-0,6575000000000001;-1,1498333333333335;2;-1,6841666666666666;0,9945;0,9621666666666667;0,9321666666666667;0,8031666666666666;221,938;222,16733333333335;222,9835;0,034166666666666665;0,04;0,02
MedCG;14/12/2024, 3:00:00;16,892333333333333;5,926;7;2,8886666666666665;-1,1145;-2,186;2,3698333333333332;-1,5214999999999999;0,9928333333333333;0,9255;0,929;0,8208333333333333;223,163;223,55266666666665;224,33466666666666;0,029999999999999995;0,04;0,021
MedCG;14/12/2024, 4:00:00;16,337666666666667;5,366833333333333;7;2,927333333333333;-1,324;-2,710166666666667;2,466;-1,5053333333333332;0,9149999999999999;0,8315;0,9266666666666666;0,8221666666666666;222,5476666666667;222,936;223,72733333333332;0,027666666666666666;0,04;0,021166666666666667
MedCG;14/12/2024, 5:00:00;7,465166666666666;0,31933333333333336;3,0826666666666664;2,875333333333333;-5,9270000000000005;-2,781;-1,0198333333333334;-1,5345;0;0;0,20133333333333334;0,8198333333333333;224,17000000000002;224,55483333333333;225,413;0;0,008666666666666666;0,020833333333333332
MedCG;14/12/2024, 6:00:00;6,4816666666666665;0,4436666666666667;2;2,690833333333333;-7,123833333333334;-2,598666666666667;-2;-1,6788333333333332;0;0;0;0,7959999999999999;225,91433333333333;226,08216666666667;227,00300000000001;0;0;0,02
MedCG;14/12/2024, 7:00:00;29,354833333333332;15,5145;2,3898333333333333;10,607166666666668;-5,489000000000001;-3,3243333333333336;-2;0,5345;0,06266666666666666;0,7261666666666666;0,059166666666666666;0,8696666666666667;223,51816666666667;223,556;224,42749999999998;0,0725;0,0026666666666666666;0,054000000000000006
MedCG;14/12/2024, 8:00:00;51,92383333333333;18,697166666666664;2,720666666666667;29,546833333333332;-1,377;-3,7741666666666664;-1,8916666666666666;4,265;0,3876666666666667;0,9741666666666666;0,32466666666666666;0,9846666666666667;223,02416666666667;223,094;223,83849999999998;0,09116666666666666;0,010166666666666666;0,137
