Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedCamiloLelis;04/09/2024, 15:00:00;16633,687082096934;2972,306851302341;7731,8048730629735;5862,982453016815;-484,2776129244972;-525,6157863501484;600,9603593801517;-565,8103099241674;0,9110649521925487;0,7990339597757996;0,969749423013518;0,8933761951862841;222,10144741180346;217,573692713485;223,12368282228817;16,52936366633696;36,62908011869436;29,151374876360038
MedCamiloLelis;04/09/2024, 16:00:00;21135,433644444445;4051,522213888889;7636,425305555556;9356,696922222223;1364,3451194444444;-322,76163888888885;560,1549111111111;1103,7348583333332;0,9442916666666666;0,8644361111111111;0,9699416666666667;0,9574972222222221;222,6063638888889;218,8262055555556;222,5087333333333;20,777741666666664;35,92798611111111;43,89615833333333
MedCamiloLelis;04/09/2024, 17:00:00;16043,660616666666;3688,6397722222223;6609,401925;5700,755222222222;-625,2197111111111;-522,67345;308,8340694444444;-417,49218888888885;0,9086361111111112;0,8499055555555555;0,9588416666666666;0,8788472222222222;223,97951666666668;221,47969166666667;225,95578333333336;19,061772222222224;30,926383333333334;28,04173611111111
MedCamiloLelis;04/09/2024, 18:00:00;6848,912173782322;1970,8922940469033;2128,8574052916415;2737,4944467829223;-3298,6584425736623;-878,3415363800361;-951,0113469633193;-1461,0797023451594;0,7740108238123873;0,7530276608538786;0,8232531569452797;0,7532080577269994;224,63553217077572;223,7010914010824;227,23071557426337;11,627621767889357;11,535408899579075;15,937693926638605
MedCamiloLelis;04/09/2024, 19:00:00;5782,506044444445;1651,066388888889;1848,3715000000002;2273,1174555555554;-3411,732683333333;-879,0924027777778;-976,3290972222222;-1546,8342972222222;0,7697833333333334;0,77175;0,8219194444444444;0,7281666666666667;224,73047777777776;223,67908055555554;227,22468055555555;9,51188888888889;10,024219444444444;13,710730555555557
MedCamiloLelis;04/09/2024, 20:00:00;5291,305866666667;1576,3663944444443;1584,2147277777776;2122,8863805555557;-3384,7036000000003;-963,1514277777778;-931,7849277777779;-1482,84765;0,7436250000000001;0,7408444444444444;0,7961722222222223;0,7108694444444444;222,5930777777778;221,4761361111111;224,81048333333334;9,531886111111112;8,954702777777777;13,248666666666665
MedCamiloLelis;04/09/2024, 21:00:00;5193,247127777778;1572,040125;1534,9236555555556;2079,2110055555554;-3439,0920805555556;-962,7168111111112;-972,03975;-1497,0058194444443;0,7361;0,7429722222222221;0,7817972222222221;0,7025222222222222;222,74825277777776;221,52172222222222;225,0971722222222;9,477622222222223;8,864233333333333;13,102397222222221
MedCamiloLelis;04/09/2024, 22:00:00;3014,0243694444443;756,5206055555556;1041,0652083333334;1208,6043833333333;-3463,9425611111114;-902,3617527777778;-999,816911111111;-1552,473611111111;0,5952361111111111;0,559075;0,6842444444444443;0,5516472222222222;225,04525833333332;223,7142;227,226375;5,893658333333333;6,763725;9,499411111111112
MedCamiloLelis;04/09/2024, 23:00:00;2808,9324944444447;708,7232027777778;994,950225;1098,3285333333333;-3379,7017194444443;-840,6314833333333;-973,5022361111111;-1555,3081833333333;0,5886888888888888;0,5765444444444444;0,6830888888888889;0,527775;224,78770555555556;223,43243333333334;227,20066111111112;5,4688083333333335;6,511605555555556;9,093325
MedCamiloLelis;05/09/2024, 0:00:00;2812,7842888888886;652,0381666666666;1043,5109333333332;1108,721288888889;-3381,403636111111;-897,9742555555556;-963,6491027777778;-1511,1913166666668;0,590225;0,5310861111111111;0,7006138888888889;0,5429555555555555;221,74206666666666;220,20091666666667;223,9299888888889;5,546602777777777;6,747436111111111;9,064033333333333
MedCamiloLelis;05/09/2024, 1:00:00;2778,297522222222;651,6851250000001;1044,448661111111;1074,1230805555556;-3400,1025583333335;-899,2155777777778;-962,4303583333333;-1529,6399555555556;0,5844166666666667;0,5315611111111112;0,7019777777777777;0,5287416666666667;221,60634166666665;220,06852777777777;223,89035833333335;5,542622222222222;6,744133333333334;9,013036111111111
MedCamiloLelis;05/09/2024, 2:00:00;2834,947866666667;661,3856777777778;1089,1916833333335;1076,234438888889;-3325,3237361111114;-884,3943416666666;-899,093425;-1533,0684527777778;0,5975027777777778;0,5415916666666667;0,7365555555555555;0,5290388888888888;221,9301166666667;220,35303055555556;224,15112222222223;5,514597222222222;6,698586111111111;9,014638888888888
MedCamiloLelis;05/09/2024, 3:00:00;2806,684167364017;705,0144518828452;1042,6427866108786;1052,2093333333332;-3335,929972105997;-816,6683542538353;-968,1462370990237;-1540,6243849372386;0,5951882845188284;0,5881171548117156;0,7005801952580195;0,5196792189679219;221,99793026499302;220,34717154811716;224,22422036262202;5,420800557880056;6,737955369595537;8,962387726638772
MedCamiloLelis;05/09/2024, 4:00:00;2733,718025;651,4239416666667;1026,6112416666665;1048,0436972222221;-3437,1449222222222;-901,0966944444444;-982,7445;-1544,2018944444446;0,5755972222222222;0,5305027777777779;0,6891333333333334;0,5182833333333333;222,18881666666667;220,64913333333334;224,37162777777777;5,532069444444445;6,732183333333333;8,954286111111111
MedCamiloLelis;05/09/2024, 5:00:00;2607,727088888889;571,2030472222223;972,5456083333333;1055,1576166666666;-3402,489538888889;-884,0003083333334;-956,7070027777778;-1552,418561111111;0,5616083333333334;0,48373055555555555;0,6784027777777778;0,5202944444444444;222,39758333333336;220,91335;224,61537777777778;5,274494444444445;6,477544444444445;8,973330555555554
MedCamiloLelis;05/09/2024, 6:00:00;3670,6399749930533;547,3678077243678;1719,5142484023338;1385,7849458182827;-3152,1873409280356;-857,894178938594;-705,295854404001;-1580,3311642122812;0,6303667685468186;0,4696276743539872;0,7359599888858016;0,6005946096137816;221,86613225896082;220,089613781606;224,1175131981106;5,187916087802167;9,530322311753265;10,083156432342317
