Nome;Data;P - Total (W);P - Fase A (W);P - Fase B (W);P - Fase C (W);Q - Total (var);Q - Fase A (var);Q - Fase B (var);Q - Fase C (var);FP - Total;FP - Fase A;FP - Fase B;FP - Fase C;V - Fase A (V);V - Fase B (V);V - Fase C (V);I - Fase A (A);I - Fase B (A);I - Fase C (A)
MedSPLAB;24/06/2024, 0:00:00;3012,2051334074486;1029,4880100055586;885,7798387993329;1095,6427654252361;-1019,5707643135074;21,74795719844358;-859,6622984991662;-179,08969705391883;0,8044552529182879;0,9279766536964981;0,6629266259032797;0,8404752640355753;225,12576153418564;223,79163979988886;222,2468260144525;4,752323513062813;5,96724569205114;5,709263479710951
MedSPLAB;24/06/2024, 1:00:00;2973,952969444445;976,8325527777778;884,5137305555555;1111,0549027777777;-1049,379213888889;-24,171680555555557;-856,4086055555556;-167,13821111111113;0,8013083333333333;0,885375;0,66285;0,844211111111111;224,70933333333332;223,33445833333334;221,7917361111111;4,568688888888889;5,968977777777778;5,778169444444444
MedSPLAB;24/06/2024, 2:00:00;2976,0324861111108;984,7577611111111;883,7337555555556;1105,4936833333334;-1140,3787916666665;-116,61791666666667;-858,2609138888889;-164,98304444444443;0,7972138888888889;0,8165777777777777;0,6616277777777778;0,8448666666666667;224,90598055555557;223,5347638888889;221,86868611111112;4,6894833333333334;5,970325;5,7442166666666665
MedSPLAB;24/06/2024, 3:00:00;2912,5103902302076;892,464112857945;883,5687422796182;1132,8930909601347;-1062,575550252667;-81,63252667040989;-856,2081667602471;-124,90220943290288;0,7899971925884334;0,7891858506457047;0,6625491297024144;0,8552667040988209;225,17174620999438;223,74534250421112;222,08992419988772;4,29615103874228;5,956673217293655;5,823234138124649
MedSPLAB;24/06/2024, 4:00:00;3009,8861;979,6076250000001;882,6998361111112;1144,899286111111;-1002,627175;-47,232930555555555;-857,9545083333334;-97,86903611111111;0,8032583333333333;0,8525805555555556;0,6617472222222223;0,8631972222222222;225,07484166666666;223,72770277777778;222,07429166666665;4,615405555555555;5,957391666666667;5,852247222222221
MedSPLAB;24/06/2024, 5:00:00;2903,996990830786;922,2659488746874;878,7190163934426;1100,2274715198666;-1033,0195804390107;-101,19129758266185;-762,6558766323978;-167,60644623506528;0,8027257571547651;0,7894720755765491;0,6963851069741595;0,8430897471519867;225,8168157821617;224,27978605168101;222,68053626007224;4,407877188107808;5,641136426785218;5,716813003612115
MedSPLAB;24/06/2024, 6:00:00;2942,097305555556;990,7495638888889;853,9676472222221;1095,3564416666666;-706,6359722222222;124,99386944444444;-637,7747472222222;-189,91035833333333;0,8376277777777777;0,9487361111111111;0,7364805555555556;0,8355916666666667;225,3781694444444;223,81889444444445;222,32881944444443;4,541963888888889;5,172991666666666;5,7279527777777774
MedSPLAB;24/06/2024, 7:00:00;2832,75575;834,4430111111111;841,3702444444444;1152,7492194444444;-620,5405777777778;-99,30192222222223;-369,7777277777778;-151,5165;0,8440277777777778;0,6337722222222222;0,8272361111111111;0,849;225,82308333333333;224,02677222222223;222,5702916666667;4,1210305555555555;4,541516666666666;5,944366666666667
MedSPLAB;24/06/2024, 8:00:00;3108,7399166435125;1065,094648513476;833,5909308141149;1207,7507335370938;-508,46605445957215;-26,747074187274244;-351,9779799944429;-129,34626840789107;0,874106696304529;0,8233203667685468;0,8334065018060572;0,8518255070853015;225,65700472353433;224,14310641844958;222,49577660461242;4,976985273687135;4,45818282856349;6,170144484579049
MedSPLAB;24/06/2024, 9:00:00;3428,848769102528;1240,9404529035844;826,3288858016116;1360,273075854404;-505,4316449013615;-71,38848013337038;-350,8926424006669;-84,52646846346208;0,8808335648791331;0,7929424840233399;0,8327229786051681;0,8659766601833843;224,6816476799111;223,32120589052516;221,43603500972495;5,83753820505696;4,43327868852459;6,838438455126425
MedSPLAB;24/06/2024, 10:00:00;3681,653888888889;1435,4409444444445;892,0007416666666;1354,6400722222222;-439,5213361111111;5,181622222222225;-367,25638888888886;-76,18947777777778;0,8942583333333333;0,8830916666666666;0,8352388888888888;0,8680111111111112;224,68777777777777;223,43753611111111;221,58958333333334;6,636661111111111;4,763455555555556;6,7959055555555565
MedSPLAB;24/06/2024, 11:00:00;4957,9689055555555;1499,0048749999999;1001,6162861111111;2443,5296583333334;-305,86050833333337;57,28619722222222;-374,0136111111111;11,304424999999997;0,9310944444444444;0,9205472222222222;0,8453111111111111;0,9482138888888888;225,2574;223,80912222222221;221,56314722222226;6,87803888888889;5,284594444444445;11,472122222222222
MedSPLAB;24/06/2024, 12:00:00;5146,195643234232;1457,17138093915;978,3539233120312;2692,941250347319;-257,29992497916083;88,36881911642124;-370,5785968324535;25,63291469852737;0,9406529591553209;0,9554987496526813;0,8429535982217282;0,966954709641567;225,80908030008337;224,31485412614617;222,0466435120867;6,639158099472076;5,165507085301472;12,505823839955543
MedSPLAB;24/06/2024, 13:00:00;3794,7179277777777;1284,5947027777777;887,0636305555555;1618,2826583333335;-325,6880777777778;10,081688888888888;-364,2647583333333;27,840049999999998;0,9035777777777778;0,8422722222222222;0,8373222222222223;0,8884222222222221;224,8560666666667;223,3807027777778;221,6028972222222;5,99315;4,730711111111111;7,84065
MedSPLAB;24/06/2024, 14:00:00;3327,605567296997;1232,7163209121245;831,1976390433815;1263,1199638487208;-371,02750834260286;-58,72300889877642;-353,93244994438265;40,07149888765294;0,876738042269188;0,7621829810901001;0,8331062291434927;0,8523025583982202;225,24491935483871;223,86046996662958;222,2045022246941;5,815219688542825;4,445211345939933;6,322119021134594
MedSPLAB;24/06/2024, 15:00:00;3172,853877777778;1152,3068166666667;836,4853833333333;1183,6460638888889;-402,0716194444445;-17,907141666666664;-405,37197222222227;20,456455555555554;0,8690111111111112;0,8009888888888889;0,8145027777777778;0,8448166666666665;225,5098888888889;224,04639722222223;222,59862222222225;5,405966666666666;4,591763888888888;5,9725222222222225
MedSPLAB;24/06/2024, 16:00:00;3122,3819177320734;1094,2079071706503;842,1118982768205;1184,0660339077265;-549,0337548638132;-3,179827682045582;-578,1547248471372;31,835425236242358;0,8468037798777099;0,8470844913841022;0,7519483046136742;0,8431573096164536;226,1716759310728;224,81734852695942;223,43436631461924;5,086083935519733;4,989049471928849;5,972762645914397
MedSPLAB;24/06/2024, 17:00:00;3179,627888888889;1195,8541833333334;868,0380472222222;1115,784075;-711,057463888889;-0,5104333333333347;-712,3634916666667;1,6426527777777786;0,8274972222222221;0,8526861111111111;0,7087;0,8330194444444444;225,6702138888889;224,3906638888889;223,12855833333336;5,564819444444444;5,468983333333333;5,687752777777778
